brand,category,age_months,original_price,condition_score,condition_label,ram_gb,storage_gb,has_original_box,num_repairs,resale_price
Apple,phone,51,140400.0,59,good,6,64,1,1,72644.19
OnePlus,phone,46,79200.0,61,good,32,64,1,0,47802.37
Dell,laptop,4,39900.0,23,poor,32,512,1,0,35367.65
Oppo,phone,58,16700.0,12,poor,12,64,1,1,6088.88
Xiaomi,phone,36,13400.0,67,excellent,4,256,1,1,8586.46
HP,laptop,29,57700.0,97,new,4,512,0,0,45720.88
Dell,laptop,55,110300.0,66,excellent,64,512,1,1,56346.75
Vivo,phone,29,31600.0,16,poor,8,512,1,1,18553.53
Dell,laptop,37,42500.0,82,excellent,32,512,0,1,26552.07
Acer,laptop,52,36800.0,11,poor,16,1024,0,0,14905.83
Xiaomi,phone,34,16700.0,97,new,12,128,1,0,13039.8
Apple,phone,25,127700.0,95,new,8,128,0,1,97599.31
Acer,laptop,19,65600.0,87,new,16,256,1,0,54663.13
MSI,laptop,52,127000.0,93,new,32,1024,1,0,74110.69
Asus,laptop,33,109200.0,86,new,64,512,0,0,80443.37
HP,laptop,5,82800.0,47,good,16,1024,1,1,73441.67
OnePlus,phone,9,58100.0,22,poor,6,256,0,0,45358.34
OnePlus,phone,26,39500.0,71,excellent,32,512,0,0,28176.33
Oppo,phone,25,20600.0,46,good,4,256,0,3,12310.04
Realme,phone,40,12600.0,12,poor,8,512,1,0,6936.45
Apple,laptop,53,191000.0,82,excellent,8,256,1,2,99080.85
Oppo,phone,6,34600.0,7,poor,32,512,0,0,28577.84
Dell,laptop,47,105700.0,45,fair,16,1024,0,0,58668.49
Realme,phone,37,16900.0,89,new,32,64,0,0,11814.47
OnePlus,phone,38,26600.0,43,fair,6,256,0,1,15200.94
Dell,laptop,3,85300.0,70,excellent,64,1024,1,2,77670.79
Vivo,phone,39,31300.0,65,good,6,128,1,1,18843.94
OnePlus,phone,30,69300.0,35,fair,16,512,1,0,46410.57
HP,laptop,34,88600.0,92,new,4,256,0,0,63877.39
Samsung,phone,18,49800.0,61,good,4,512,1,0,41501.57
HP,laptop,8,32400.0,43,fair,64,1024,0,1,25831.69
Apple,laptop,53,138700.0,88,new,32,256,0,1,73764.33
Dell,laptop,50,77100.0,91,new,64,256,1,0,46199.46
Lenovo,laptop,59,33300.0,60,good,32,256,0,0,15453.09
HP,laptop,22,56800.0,23,poor,8,512,1,0,40105.14
OnePlus,phone,19,32400.0,54,good,12,128,0,0,25785.44
Vivo,phone,50,13700.0,47,good,16,512,1,0,7256.15
Oppo,phone,4,18300.0,69,excellent,8,64,1,0,17903.87
MSI,laptop,54,78400.0,54,good,8,256,1,1,37761.85
Samsung,phone,41,96500.0,98,new,16,64,1,0,65875.9
Xiaomi,phone,7,12800.0,84,excellent,6,128,1,3,11145.47
Realme,phone,25,13800.0,81,excellent,4,128,1,3,9717.84
Lenovo,laptop,14,95600.0,55,good,16,1024,0,0,74418.55
Xiaomi,phone,56,37800.0,7,poor,4,64,0,1,13481.34
Dell,laptop,38,117900.0,52,good,8,512,1,0,74255.06
Xiaomi,phone,41,19900.0,50,good,12,64,1,0,12149.55
Samsung,phone,38,86700.0,70,excellent,4,256,1,0,56522.87
Oppo,phone,3,35300.0,61,good,12,512,0,1,34157.54
Realme,phone,14,17200.0,24,poor,4,128,0,0,13541.99
Apple,laptop,25,162400.0,7,poor,16,512,0,0,101467.78
Realme,phone,52,17000.0,54,good,12,256,1,1,8352.08
Apple,laptop,25,159800.0,8,poor,16,512,1,0,107527.32
Vivo,phone,34,24000.0,77,excellent,16,256,0,2,15359.83
Acer,laptop,52,68900.0,100,new,16,256,0,1,37972.84
Oppo,phone,2,21800.0,83,excellent,32,64,0,0,22185.53
Xiaomi,phone,1,33800.0,66,excellent,12,128,0,0,33922.46
Lenovo,laptop,14,58500.0,13,poor,4,512,1,0,42355.44
Samsung,phone,6,89800.0,97,new,16,64,1,0,93487.82
Acer,laptop,41,44400.0,68,excellent,64,256,1,0,27376.45
Apple,phone,59,108400.0,69,excellent,8,256,0,0,52040.28
OnePlus,phone,30,60900.0,73,excellent,12,64,0,1,41058.64
Dell,laptop,1,70300.0,10,poor,4,1024,1,1,62957.77
Lenovo,laptop,5,61100.0,11,poor,64,512,0,0,50652.79
Oppo,phone,44,15800.0,18,poor,6,256,1,0,8226.51
Asus,laptop,49,107600.0,75,excellent,16,256,0,0,61062.85
HP,laptop,8,105000.0,91,new,8,1024,0,0,97145.14
Dell,laptop,32,119600.0,38,fair,32,1024,0,0,73417.25
MSI,laptop,19,124200.0,26,fair,8,1024,0,0,85885.87
Oppo,phone,18,34700.0,5,poor,32,64,1,2,21626.46
Oppo,phone,16,13100.0,27,fair,6,256,0,0,9842.09
Vivo,phone,42,21400.0,83,excellent,4,512,0,0,14323.05
Dell,laptop,4,47500.0,5,poor,64,512,1,0,40141.34
MSI,laptop,37,176500.0,78,excellent,4,256,1,0,118825.72
MSI,laptop,19,131600.0,70,excellent,32,256,1,3,92772.23
Apple,phone,45,148100.0,83,excellent,8,256,1,0,90716.26
HP,laptop,55,109200.0,29,fair,8,1024,0,0,47873.04
Acer,laptop,25,89200.0,70,excellent,64,1024,1,0,72086.45
Samsung,phone,57,90900.0,29,fair,12,64,0,0,39417.92
Realme,phone,42,29300.0,76,excellent,6,512,1,0,20041.17
Lenovo,laptop,50,90200.0,26,fair,32,512,0,0,43118.53
Asus,laptop,18,63800.0,71,excellent,16,512,0,1,49691.6
Oppo,phone,8,44200.0,98,new,4,256,1,1,40903.85
MSI,laptop,49,99800.0,8,poor,64,1024,0,0,42009.08
Dell,laptop,19,92800.0,27,fair,4,256,0,2,58554.55
Vivo,phone,18,12300.0,85,excellent,16,128,0,0,9977.52
HP,laptop,29,50500.0,99,new,16,512,0,0,37634.07
MSI,laptop,4,189900.0,62,good,8,512,0,1,175324.58
Acer,laptop,14,62300.0,13,poor,32,1024,1,0,48082.21
Realme,phone,10,11000.0,48,good,12,128,0,3,8483.02
Vivo,phone,1,26500.0,56,good,16,256,0,1,24917.66
Acer,laptop,56,54800.0,83,excellent,4,512,0,0,29444.82
Samsung,phone,39,88300.0,80,excellent,16,256,1,1,58690.17
Xiaomi,phone,12,32600.0,10,poor,4,512,0,1,22119.78
Acer,laptop,25,84300.0,10,poor,16,512,1,0,53545.0
Samsung,phone,34,60100.0,51,good,16,256,1,3,34250.29
Realme,phone,46,9300.0,87,new,16,512,1,1,5773.72
HP,laptop,9,74100.0,51,good,4,1024,0,0,66856.68
Oppo,phone,20,17100.0,53,good,4,512,1,2,12721.79
HP,laptop,47,100700.0,32,fair,64,1024,0,0,50369.88
Realme,phone,57,11200.0,61,good,6,512,0,2,4756.68
Xiaomi,phone,13,39100.0,62,good,8,64,1,0,31940.48
Realme,phone,34,25700.0,87,new,32,256,1,0,18649.35
Acer,laptop,11,26500.0,20,poor,4,512,0,1,19607.92
MSI,laptop,30,62600.0,97,new,32,1024,1,0,51333.96
Asus,laptop,19,109400.0,9,poor,4,1024,0,0,73736.24
Lenovo,laptop,24,61300.0,85,excellent,16,1024,1,0,48457.77
Oppo,phone,43,28900.0,18,poor,32,256,1,0,15623.78
Apple,phone,38,69100.0,21,poor,32,64,0,3,32837.44
MSI,laptop,11,112900.0,86,new,16,256,0,3,91574.82
Xiaomi,phone,22,33800.0,83,excellent,6,512,1,0,27414.79
Lenovo,laptop,35,92400.0,17,poor,32,1024,0,1,51852.72
Samsung,phone,43,84400.0,74,excellent,8,512,0,0,49945.38
Dell,laptop,31,91100.0,8,poor,16,256,1,2,48677.57
Apple,laptop,21,142100.0,29,fair,4,512,1,0,106216.12
Xiaomi,phone,17,26400.0,81,excellent,16,256,0,1,21057.61
Apple,laptop,14,133500.0,68,excellent,32,256,1,1,112896.79
Asus,laptop,23,127700.0,74,excellent,64,1024,0,0,101643.48
Vivo,phone,29,23500.0,30,fair,12,64,0,1,14602.99
Apple,phone,7,74800.0,95,new,8,64,1,0,72480.14
Acer,laptop,48,80200.0,54,good,8,512,1,0,44688.76
Apple,phone,35,89100.0,5,poor,4,512,1,0,50699.03
Realme,phone,43,33400.0,77,excellent,6,256,0,1,19757.05
Apple,phone,2,86200.0,83,excellent,16,512,0,1,89085.33
OnePlus,phone,34,37200.0,29,fair,12,256,0,2,20576.35
Acer,laptop,31,61400.0,6,poor,32,512,0,0,35125.27
Xiaomi,phone,48,9900.0,47,good,32,64,1,0,5207.03
Acer,laptop,30,59500.0,42,fair,16,1024,1,0,39793.03
Acer,laptop,25,59000.0,57,good,32,512,0,0,42673.87
Vivo,phone,36,17700.0,85,excellent,16,512,0,2,11079.01
Acer,laptop,29,42500.0,85,excellent,32,1024,1,0,32684.15
Asus,laptop,39,54400.0,91,new,32,512,1,2,33412.04
HP,laptop,4,56600.0,78,excellent,32,1024,0,0,59169.26
Samsung,phone,30,95800.0,98,new,16,256,1,0,74028.23
MSI,laptop,42,127200.0,88,new,4,256,1,0,84936.24
Oppo,phone,31,32500.0,45,fair,32,64,1,0,21100.56
Acer,laptop,41,45100.0,89,new,8,512,0,0,28555.83
Acer,laptop,48,71700.0,26,fair,64,1024,0,0,36386.56
Apple,laptop,14,182800.0,40,fair,32,1024,0,0,142069.94
Realme,phone,21,16100.0,38,fair,16,256,0,0,12152.76
Apple,laptop,7,90400.0,26,fair,16,256,1,0,79434.31
Xiaomi,phone,42,32300.0,55,good,12,512,1,3,16528.24
Samsung,phone,30,42100.0,100,new,4,64,0,1,29851.72
Samsung,phone,34,61700.0,97,new,12,256,1,1,46196.24
Oppo,phone,12,22800.0,45,fair,4,512,0,0,19045.64
OnePlus,phone,34,64100.0,22,poor,4,256,0,1,34296.21
HP,laptop,39,54100.0,78,excellent,4,512,1,0,35810.41
Realme,phone,43,17100.0,25,poor,16,128,0,0,8576.36
Xiaomi,phone,25,36400.0,44,fair,16,512,0,0,25130.95
Lenovo,laptop,45,87700.0,96,new,4,512,1,3,52973.34
HP,laptop,23,89100.0,29,fair,4,1024,0,0,61134.5
Apple,laptop,21,100200.0,30,fair,32,1024,1,1,70283.88
Xiaomi,phone,60,23900.0,39,fair,4,64,1,0,10221.79
Oppo,phone,8,23000.0,54,good,8,64,1,0,21765.52
Oppo,phone,9,11000.0,72,excellent,16,128,1,3,9667.06
Lenovo,laptop,42,61900.0,49,good,4,512,1,0,38192.88
Xiaomi,phone,42,10500.0,18,poor,4,256,1,0,5609.09
Dell,laptop,27,53800.0,71,excellent,16,1024,0,0,39642.49
Dell,laptop,59,55300.0,39,fair,8,512,0,1,21210.58
Acer,laptop,6,78400.0,68,excellent,64,256,0,2,68098.11
Xiaomi,phone,3,16200.0,95,new,4,512,0,1,16723.6
Asus,laptop,2,61000.0,69,excellent,16,512,0,0,60421.22
HP,laptop,30,107600.0,87,new,32,512,1,2,80210.94
Oppo,phone,7,33400.0,72,excellent,6,256,1,1,30641.53
HP,laptop,5,76600.0,40,fair,32,256,1,0,69544.08
Apple,phone,29,110200.0,15,poor,6,128,0,0,65289.87
MSI,laptop,34,165300.0,52,good,16,256,1,0,109912.88
Dell,laptop,18,103500.0,85,excellent,32,1024,1,0,84887.83
Dell,laptop,25,89000.0,96,new,8,1024,1,1,69896.56
Acer,laptop,13,80700.0,18,poor,8,512,0,1,55883.37
Vivo,phone,45,15000.0,12,poor,12,512,0,0,6982.24
Oppo,phone,59,25000.0,30,fair,6,512,1,0,10206.25
Asus,laptop,37,64900.0,59,good,64,512,1,0,42027.32
Lenovo,laptop,39,91700.0,12,poor,8,1024,1,0,51216.67
Realme,phone,53,33200.0,88,new,6,64,0,1,17648.98
HP,laptop,18,83200.0,53,good,64,1024,1,1,62384.12
Xiaomi,phone,12,14000.0,57,good,4,512,0,0,11938.48
Asus,laptop,52,76900.0,58,good,16,512,1,2,38354.08
Realme,phone,42,28600.0,75,excellent,12,128,0,0,17262.29
OnePlus,phone,51,31900.0,27,fair,32,64,1,1,13851.42
Oppo,phone,42,39800.0,39,fair,6,64,0,0,22286.38
Realme,phone,2,29700.0,8,poor,4,128,1,0,25721.25
OnePlus,phone,31,75900.0,80,excellent,8,64,0,0,55884.01
Lenovo,laptop,44,72000.0,23,poor,16,1024,1,0,36386.18
Vivo,phone,34,33400.0,58,good,6,512,1,1,20683.78
Samsung,phone,32,77400.0,13,poor,16,256,1,1,45230.28
OnePlus,phone,45,70400.0,80,excellent,16,256,0,0,45463.6
MSI,laptop,49,74200.0,81,excellent,64,1024,1,0,43379.72
Apple,phone,10,137400.0,19,poor,32,512,1,0,111208.96
MSI,laptop,16,93200.0,48,good,16,1024,1,1,72889.13
Samsung,phone,35,64800.0,47,good,12,512,0,2,37300.28
Dell,laptop,49,35700.0,8,poor,4,1024,1,2,14235.36
HP,laptop,32,97400.0,37,fair,16,512,0,1,56292.61
Dell,laptop,39,60100.0,90,new,32,1024,1,1,39918.61
Xiaomi,phone,28,24000.0,83,excellent,4,512,1,1,17882.67
OnePlus,phone,26,52300.0,34,fair,32,256,0,1,32543.86
OnePlus,phone,34,30100.0,65,good,32,512,1,1,20292.89
OnePlus,phone,14,67600.0,26,fair,6,64,1,0,50036.98
Oppo,phone,3,19800.0,11,poor,4,64,1,0,17129.32
MSI,laptop,15,110300.0,47,good,8,256,0,1,86402.25
Apple,phone,4,143600.0,29,fair,16,256,1,0,131117.15
Vivo,phone,12,16400.0,89,new,4,256,1,0,15192.1
Vivo,phone,36,24100.0,10,poor,8,512,0,0,13057.24
Apple,laptop,21,186700.0,69,excellent,64,512,1,0,157107.27
Realme,phone,41,22400.0,82,excellent,12,128,0,0,14311.33
Lenovo,laptop,55,78900.0,39,fair,32,512,1,0,35931.57
MSI,laptop,11,168900.0,25,poor,4,512,0,2,127828.32
HP,laptop,38,51800.0,41,fair,32,512,0,1,29397.12
Apple,laptop,13,110900.0,77,excellent,64,256,0,1,94591.72
Apple,laptop,2,148900.0,51,good,4,1024,0,2,135654.11
Xiaomi,phone,11,9500.0,79,excellent,16,256,0,0,8903.4
Acer,laptop,6,80800.0,11,poor,64,512,0,2,63046.79
Realme,phone,25,20000.0,56,good,8,256,0,0,15055.21
MSI,laptop,11,170400.0,69,excellent,8,1024,0,0,144757.09
Oppo,phone,35,18400.0,9,poor,6,256,0,0,10355.28
OnePlus,phone,39,27800.0,73,excellent,8,256,0,0,18238.43
Dell,laptop,29,87800.0,34,fair,4,512,1,1,56347.95
Apple,phone,16,95300.0,66,excellent,8,64,1,1,74580.33
HP,laptop,60,41000.0,84,excellent,16,512,1,0,22037.36
Oppo,phone,7,23800.0,30,fair,6,512,1,1,21058.15
Asus,laptop,37,128700.0,49,good,16,512,1,0,85075.74
Realme,phone,40,7100.0,95,new,16,128,0,3,4126.47
Dell,laptop,13,73900.0,90,new,64,512,1,0,65771.86
Lenovo,laptop,36,60400.0,26,fair,32,1024,1,0,36459.26
Dell,laptop,55,44300.0,82,excellent,16,512,0,0,24463.51
Apple,laptop,34,164400.0,47,good,16,1024,1,2,97646.02
Realme,phone,40,23300.0,21,poor,4,64,1,0,12895.47
Xiaomi,phone,42,19500.0,31,fair,12,128,0,0,10587.43
Realme,phone,35,18500.0,34,fair,32,256,1,0,11225.62
Acer,laptop,43,33300.0,51,good,4,1024,1,0,19143.48
Lenovo,laptop,47,74500.0,15,poor,16,256,1,3,30187.11
Oppo,phone,58,33400.0,38,fair,32,256,1,0,14670.87
Oppo,phone,50,23500.0,37,fair,12,512,1,0,11671.07
Asus,laptop,56,36400.0,49,good,64,256,0,0,17073.93
OnePlus,phone,17,28200.0,5,poor,16,512,0,0,19117.8
Oppo,phone,31,18100.0,60,good,4,512,0,0,13048.89
Apple,phone,16,56300.0,37,fair,16,256,0,3,38761.62
Acer,laptop,38,79100.0,63,good,16,512,0,0,52861.08
Oppo,phone,22,35400.0,16,poor,32,64,1,0,24000.15
Oppo,phone,35,13700.0,88,new,4,512,0,0,9464.73
Xiaomi,phone,52,32200.0,37,fair,32,64,1,0,15464.51
Apple,phone,53,128400.0,51,good,12,64,0,1,58956.98
Realme,phone,23,20700.0,91,new,12,128,0,0,16675.78
MSI,laptop,4,89700.0,93,new,8,1024,1,0,90922.33
Apple,phone,39,80900.0,9,poor,16,512,0,0,40997.44
Oppo,phone,44,23500.0,61,good,4,64,0,0,13775.84
Oppo,phone,43,30500.0,26,fair,16,512,0,0,16241.46
Apple,phone,23,61700.0,20,poor,12,128,1,2,39346.92
Realme,phone,25,21400.0,16,poor,6,128,0,0,13997.6
Asus,laptop,31,107300.0,20,poor,16,256,0,0,62852.79
Asus,laptop,41,105500.0,90,new,4,512,0,0,70156.61
Xiaomi,phone,1,10300.0,83,excellent,4,512,0,0,10010.27
Dell,laptop,9,116800.0,46,good,8,256,1,0,99721.95
Asus,laptop,59,59100.0,14,poor,8,1024,0,0,22414.31
Samsung,phone,39,31300.0,44,fair,8,512,0,0,18395.24
Apple,phone,23,112100.0,41,fair,4,512,1,0,83008.72
Vivo,phone,2,27900.0,68,excellent,12,512,1,1,27326.36
Dell,laptop,21,105100.0,100,new,4,1024,0,1,82404.32
Vivo,phone,47,38100.0,25,poor,32,512,1,0,19758.23
OnePlus,phone,19,27200.0,89,new,8,128,1,0,23343.3
MSI,laptop,14,175600.0,100,new,8,256,0,0,156420.07
Realme,phone,25,12600.0,34,fair,4,64,1,0,8794.44
MSI,laptop,16,195300.0,97,new,32,1024,0,1,165724.05
Xiaomi,phone,37,17600.0,44,fair,6,64,1,0,10699.66
Oppo,phone,41,39100.0,69,excellent,12,512,1,0,24040.49
Lenovo,laptop,47,61600.0,43,fair,16,256,1,1,32284.8
Oppo,phone,32,42600.0,29,fair,6,512,0,0,25579.28
MSI,laptop,42,61300.0,91,new,16,1024,0,0,40390.99
Xiaomi,phone,8,13400.0,84,excellent,12,512,0,0,12999.1
Samsung,phone,28,59800.0,15,poor,12,256,1,1,36895.8
Xiaomi,phone,39,19700.0,69,excellent,32,512,1,1,12743.49
Acer,laptop,16,49200.0,76,excellent,64,1024,1,2,37783.0
MSI,laptop,42,67700.0,60,good,16,256,0,0,39903.1
Vivo,phone,56,20100.0,68,excellent,16,128,0,0,10094.79
Acer,laptop,46,63800.0,17,poor,64,256,1,0,30496.29
Oppo,phone,54,31600.0,99,new,12,128,1,0,18082.69
Realme,phone,7,8100.0,65,good,6,512,0,0,7321.96
Asus,laptop,25,116700.0,20,poor,8,512,1,0,77270.55
Acer,laptop,42,67200.0,71,excellent,16,1024,0,0,43627.78
Apple,laptop,31,108100.0,63,good,4,1024,1,0,74191.19
Xiaomi,phone,19,36500.0,18,poor,4,64,0,1,23665.9
Apple,phone,18,144900.0,18,poor,32,256,1,3,88753.44
MSI,laptop,8,99800.0,100,new,64,256,0,1,90399.69
HP,laptop,20,88400.0,53,good,16,256,0,0,65397.72
HP,laptop,2,84700.0,48,good,32,1024,0,0,79368.87
Realme,phone,34,24600.0,29,fair,16,64,0,0,14688.29
Apple,laptop,16,97900.0,57,good,8,1024,1,1,76066.05
Apple,phone,25,146300.0,51,good,12,128,0,1,104459.89
Samsung,phone,54,37100.0,67,excellent,6,64,1,0,19424.86
Lenovo,laptop,13,92700.0,92,new,16,1024,1,1,81205.35
Oppo,phone,48,18600.0,66,excellent,32,512,1,1,10817.86
Vivo,phone,34,23800.0,39,fair,16,256,1,0,15892.08
Apple,phone,17,120500.0,25,poor,12,64,1,0,94514.67
Oppo,phone,17,28800.0,89,new,4,512,0,0,23970.01
Vivo,phone,16,10000.0,90,new,6,64,0,0,9003.69
Lenovo,laptop,48,53400.0,49,good,16,256,1,0,30635.64
Dell,laptop,32,54200.0,14,poor,64,512,0,0,32181.06
Asus,laptop,7,37600.0,88,new,32,1024,1,2,35649.73
MSI,laptop,15,122400.0,29,fair,32,512,1,1,88155.91
Acer,laptop,13,50200.0,86,new,4,512,1,0,47448.53
Apple,phone,24,130200.0,98,new,16,128,1,1,107089.89
Asus,laptop,54,39500.0,98,new,64,512,0,0,21994.55
Apple,laptop,53,195400.0,82,excellent,64,512,1,1,108322.33
OnePlus,phone,13,52500.0,49,good,32,64,0,1,42687.7
Apple,laptop,8,181900.0,70,excellent,32,512,0,1,158317.53
MSI,laptop,48,143400.0,50,good,16,1024,0,0,72912.16
Lenovo,laptop,20,57700.0,49,good,16,256,0,1,41678.71
Oppo,phone,35,40600.0,7,poor,32,256,1,0,23815.35
HP,laptop,56,53700.0,47,good,32,256,0,0,25264.72
MSI,laptop,4,193600.0,58,good,64,256,0,0,193066.93
Realme,phone,2,8000.0,96,new,6,64,0,0,8098.36
MSI,laptop,18,84900.0,16,poor,32,1024,0,0,62691.08
HP,laptop,50,82200.0,85,excellent,8,256,0,1,44013.09
OnePlus,phone,49,60800.0,74,excellent,32,128,0,0,34407.69
Apple,phone,47,51700.0,70,excellent,12,64,1,1,30349.04
Apple,phone,44,93400.0,8,poor,6,128,0,0,43557.33
Dell,laptop,39,102700.0,23,poor,16,256,0,0,54880.07
Xiaomi,phone,18,20600.0,9,poor,32,256,1,1,13739.44
Samsung,phone,54,97900.0,90,new,32,64,0,0,53376.96
MSI,laptop,17,118500.0,87,new,64,512,0,0,104616.59
Vivo,phone,40,16800.0,90,new,6,256,1,2,11066.9
OnePlus,phone,25,25200.0,92,new,4,256,1,0,20316.68
Lenovo,laptop,22,57800.0,61,good,4,256,0,0,43838.66
Asus,laptop,9,93300.0,38,fair,4,512,0,0,78038.59
Oppo,phone,19,28900.0,67,excellent,12,128,1,2,21518.07
Lenovo,laptop,10,75200.0,67,excellent,64,1024,1,0,69251.0
Dell,laptop,17,83200.0,91,new,64,1024,0,0,73210.74
Samsung,phone,2,95200.0,25,poor,4,128,0,0,91919.44
Acer,laptop,2,32300.0,64,good,16,1024,0,0,31764.31
Apple,phone,45,148100.0,96,new,8,256,1,1,90676.23
Samsung,phone,53,74900.0,23,poor,16,128,1,1,31433.27
Acer,laptop,39,83100.0,63,good,4,256,0,0,50506.89
Dell,laptop,10,106700.0,24,poor,32,512,0,0,86657.78
Lenovo,laptop,21,84100.0,60,good,32,256,1,0,67980.18
HP,laptop,1,99500.0,70,excellent,32,1024,0,0,98283.53
Apple,laptop,28,138300.0,77,excellent,64,512,1,1,102387.8
Xiaomi,phone,36,32900.0,18,poor,8,64,1,0,18266.3
HP,laptop,60,109700.0,22,poor,64,256,1,0,44082.87
Samsung,phone,23,49600.0,58,good,8,256,0,2,33131.72
Xiaomi,phone,17,22500.0,81,excellent,4,64,1,0,18741.68
Oppo,phone,7,30100.0,61,good,12,256,0,0,26340.38
Vivo,phone,11,20200.0,58,good,8,128,0,0,17682.47
Asus,laptop,60,66000.0,37,fair,32,1024,0,0,25956.55
MSI,laptop,24,160900.0,19,poor,16,1024,0,0,111157.19
Apple,laptop,34,164900.0,91,new,64,256,0,1,109506.53
Dell,laptop,25,105700.0,12,poor,4,256,0,0,64546.35
Oppo,phone,46,32300.0,14,poor,12,128,0,0,16111.32
Oppo,phone,18,17500.0,42,fair,8,512,1,0,13694.71
Asus,laptop,56,55700.0,95,new,64,1024,1,1,31551.21
Vivo,phone,39,35300.0,88,new,16,256,0,0,23089.46
MSI,laptop,16,93700.0,20,poor,32,1024,1,0,72805.8
OnePlus,phone,55,28500.0,5,poor,8,64,1,0,11084.12
Apple,laptop,55,88100.0,74,excellent,32,512,1,0,46482.3
Xiaomi,phone,31,29000.0,83,excellent,8,128,0,0,20636.17
Apple,laptop,25,106700.0,91,new,64,512,0,0,85652.36
Oppo,phone,5,16400.0,62,good,4,64,0,0,16166.05
Dell,laptop,26,56800.0,5,poor,16,256,1,3,31279.72
Apple,laptop,18,199000.0,39,fair,32,256,0,0,154079.62
Xiaomi,phone,25,14800.0,14,poor,12,512,0,0,9404.02
Xiaomi,phone,10,35100.0,22,poor,6,128,1,0,27482.0
Acer,laptop,11,70300.0,26,fair,8,512,1,0,57656.46
Realme,phone,58,33700.0,25,poor,16,64,1,0,14361.14
Dell,laptop,39,41900.0,6,poor,64,512,0,0,21865.49
Acer,laptop,7,43500.0,69,excellent,16,1024,1,0,42753.76
Realme,phone,3,25300.0,28,fair,12,256,1,0,22740.19
Oppo,phone,57,13700.0,97,new,6,256,1,3,6518.58
Asus,laptop,38,45400.0,64,good,16,512,0,0,30147.68
HP,laptop,38,73500.0,70,excellent,32,512,0,0,47951.87
Dell,laptop,25,84600.0,72,excellent,16,256,1,0,68088.3
Vivo,phone,7,26700.0,50,good,16,512,1,1,22798.47
OnePlus,phone,2,36600.0,11,poor,8,64,0,1,32001.44
MSI,laptop,12,140000.0,71,excellent,32,1024,1,0,122791.61
Samsung,phone,46,78200.0,6,poor,32,128,0,0,34246.39
MSI,laptop,49,93600.0,62,good,16,1024,1,2,47695.59
Realme,phone,30,11600.0,98,new,12,256,0,1,8372.6
Lenovo,laptop,9,79900.0,17,poor,64,256,0,2,56511.5
Lenovo,laptop,39,77500.0,8,poor,4,512,1,0,40345.24
Apple,phone,18,111800.0,90,new,16,256,0,1,93027.1
Asus,laptop,25,91500.0,90,new,8,512,0,0,70698.6
Acer,laptop,49,54400.0,64,good,16,1024,1,0,30627.42
Asus,laptop,1,40600.0,36,fair,64,1024,1,0,38860.9
Samsung,phone,49,88100.0,59,good,4,128,1,0,49192.79
Apple,phone,36,77000.0,64,good,8,64,1,3,43352.43
